FIPS,"Berries, Other",Berry Totals,Blackberries,Blueberries,Boysenberries,Cranberries,Currants,Loganberries,Raspberries,Strawberries
18057,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
18059,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18061,0.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0
18063,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18065,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
18069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18071,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18073,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
18075,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
18077,0.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
18079,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0
18081,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18083,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18085,0.0,12.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0
18087,0.0,30.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,18.0
18089,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
18091,0.0,10.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0
18093,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18095,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
18097,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18099,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0
18103,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
18105,0.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0
18107,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
18109,1.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0
18111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18113,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0
18115,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18117,1.0,12.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0
18119,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0
18121,0.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0
18123,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18127,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
18129,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
18131,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
18133,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18137,0.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0
18139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18141,0.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,6.0
